2022-05-03 17:07:01.514730 p176 I    completion error: ************* TransportIntent(ActorAddr-LocalAddr.0-=-SENDSTS_FAILED-<class 'mTree.microeconomic_system.message.Message'>-<Message Sender: ActorAddr-(T|:39759), Recipients: , Directive: simulation_properties, Content: {'properties': {'number_of_rounds': 1, 'payment_per_ta...-quit_0:04:59.970617)
2022-05-03 17:07:01.517467 p176 I    completion error: ************* TransportIntent(ActorAddr-LocalAddr.0-=-SENDSTS_FAILED-<class 'mTree.microeconomic_system.message.Message'>-<Message Sender: , Recipients: , Directive: setup_institution, Content: {'order': 1, 'institution_class': 'institution.TaxInstitution', 'source_hash':...-quit_0:04:59.968043)
2022-05-03 17:07:01.521311 p176 I    completion error: ************* TransportIntent(ActorAddr-LocalAddr.0-=-SENDSTS_FAILED-<class 'mTree.microeconomic_system.message.Message'>-<Message Sender: , Recipients: , Directive: setup_agents, Content: {'agent_class': 'agent.TaxAgent', 'num_agents': 5, 'source_hash': 'd2d154aaa0275832...-quit_0:04:59.965453)
2022-05-03 17:07:01.523197 p176 I    completion error: ************* TransportIntent(ActorAddr-LocalAddr.0-=-SENDSTS_FAILED-<class 'mTree.microeconomic_system.message.Message'>-<Message Sender: experimenter, Recipients: , Directive: start_environment, Content: None>-quit_0:04:59.962889)
2022-05-03 17:09:22.227618 p27 I    Pending Actor request received for environment.TaxEnvironment (daf04ad9549e0e9a3c1361d53d113283) reqs None from ActorAddr-(T|:39759)
2022-05-03 17:09:22.329975 p214 I    Starting Actor environment.TaxEnvironment at ActorAddr-(T|:40531) (parent ActorAddr-(T|:19000), admin ActorAddr-(T|:19000), srcHash daf04ad9549e0e9a3c1361d53d113283)
2022-05-03 17:09:22.496463 p216 I    Starting Actor log_actor.LogActor at ActorAddr-(T|:45145) (parent ActorAddr-(T|:40531), admin ActorAddr-(T|:19000), srcHash daf04ad9549e0e9a3c1361d53d113283)
2022-05-03 17:09:22.529474 p214 ERR  sourceload realization failure in institution: invalid syntax (institution.py, line 76)
2022-05-03 17:09:22.541329 p27 I    Pending Actor request received for institution.TaxInstitution (daf04ad9549e0e9a3c1361d53d113283) reqs None from ActorAddr-(T|:40531)
2022-05-03 17:09:22.575031 p27 ERR  sourceload realization failure in institution: invalid syntax (institution.py, line 76)
2022-05-03 17:09:22.705330 p218 I    Starting Actor agent.TaxAgent at ActorAddr-(T|:33213) (parent ActorAddr-(T|:40531), admin ActorAddr-(T|:19000), srcHash daf04ad9549e0e9a3c1361d53d113283)
2022-05-03 17:09:22.713151 p220 I    Starting Actor agent.TaxAgent at ActorAddr-(T|:34785) (parent ActorAddr-(T|:40531), admin ActorAddr-(T|:19000), srcHash daf04ad9549e0e9a3c1361d53d113283)
2022-05-03 17:09:22.735638 p222 I    Starting Actor agent.TaxAgent at ActorAddr-(T|:35949) (parent ActorAddr-(T|:40531), admin ActorAddr-(T|:19000), srcHash daf04ad9549e0e9a3c1361d53d113283)
2022-05-03 17:09:22.753956 p224 I    Starting Actor agent.TaxAgent at ActorAddr-(T|:33581) (parent ActorAddr-(T|:40531), admin ActorAddr-(T|:19000), srcHash daf04ad9549e0e9a3c1361d53d113283)
2022-05-03 17:09:22.782514 p226 I    Starting Actor agent.TaxAgent at ActorAddr-(T|:46631) (parent ActorAddr-(T|:40531), admin ActorAddr-(T|:19000), srcHash daf04ad9549e0e9a3c1361d53d113283)
2022-05-03 17:09:23.049445 p214 I    Pending Actor create for ActorAddr-(T|:40531) failed (3589): Source hash {{daf04ad9549e0e9a3c1361d53d113283}}: invalid syntax (institution.py, line 76)
2022-05-03 17:09:23.066828 p214 I    completion error: ************* TransportIntent(ActorAddr-LocalAddr.1-=-SENDSTS_FAILED-<class 'mTree.microeconomic_system.message.Message'>-<Message Sender: , Recipients: , Directive: simulation_properties, Content: {'environment': <thespian.actors.ActorAddress object at 0x40068c0eb0>, 'pr...-quit_0:04:59.478438)
